Deputāts/e,Frakcija,Dzimums,Dzimšanas gads,Dzīvesvieta,Izglitība,Politiska partija,Ievelēts/-a no saraksta,Mandāta statuss,Darbība 13.Saeimā,E-pasta adrese
"Indriksone, Ilze",Nacionāla Apvienība VL-TB/LNNK,S,1974,"Talsu novads, Laidzes pagasts","Maģistra grāds vides pārvaldībā (Latvijas Universitāte, 2001); Videssaimniecības specialitāte (Latvijas Lauksaimniecības univeristāte, 1998)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/77621DC5904D27DFC22583320029E3A9?OpenDocument&lang=LV,Ilze.Indriksone@saeima.lv
"Jalinska, Janīna",Zaļo un Zemnieku Savienība,S,1958,"Daugavpils novads, Līksnas pagasts","Juriste (Sociālo tehnoloģiju augstskola, 2002)",Daugavpils novada partija,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/96FF6B2CA1C6A183C22583320029E434?OpenDocument&lang=LV,Janina.Jalinska@saeima.lv
"Jansons, Ritvars",Nacionāla Apvienība VL-TB/LNNK,V,1968,"Kandavas novads, Kandava","Vēstures doktora zinātniskais grāds Latvijas vēsturē (Latvijas Universitāte, 2003); Sociālo zinātņu maģistra grāds politikas zinātnē (Latvijas Universitāte, 2003); Vēsturnieks, vēstures pasniedzējs (Latvijas Universitāte, 1993)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=64B647EDF8A8133DC22583320029E4DD&url=./0/64B647EDF8A8133DC22583320029E4DD?OpenDocument&lang=LV,Ritvars.Jansons@saeima.lv
"Judins, Andrejs",Jaunā Vienotība,V,1970,Jūrmala,"Jurists (Latvijas Universitāte, 1993)",Vienotība,Jaunā Vienotība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=8487FA389DF1B924C22583320029E4B6&url=./0/8487FA389DF1B924C22583320029E4B6?OpenDocument&lang=LV,Andrejs.Judins@saeima.lv
"Jurašs, Juris",Jauno Konservatīvo frakcija,V,1975,Rīga,"Maģistra grāds tiesību zinātnē (Latvijas Policijas akadēmija, 2007); Bakalaura grāds tiesību zinātnē (Latvijas Policijas akadēmija, 1999)",Jaunā konservatīvā partija,Jaunā konservatīva partija,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/79BEC648723DFA08C22583320029E385?OpenDocument&lang=LV,Juris.Jurass@saeima.lv
"Kabanovs, Nikolajs",Saskaņa,V,1970,Rīga,"Vidējā izglītība (Rīgas 43. vidusskola, 1987)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=F483A271BEEB13BFC22583320029E456&url=./0/F483A271BEEB13BFC22583320029E456?OpenDocument&lang=LV,Nikolajs.Kabanovs@saeima.lv
"Kaimiņš, Artuss",Pie frakcijām nepiederošie deputāti,V,1980,Mežciems,"Kino un dramatiskā teātra aktieris,Bakalaura grāds mākslās (Latvijas Kultūras akadēmija, 2003)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=6A08FAF1ED0F58A9C22583320029E501&url=./0/6A08FAF1ED0F58A9C22583320029E501?OpenDocument&lang=LV,Artuss.Kaimins@saeima.lv
"Kalniņš, Ojārs Ēriks",Jaunā Vienotība,V,1949,Rīga,"Filozofija (Rūzvelta Universitāte, ASV, Čikāgā, 1972)",Vienotība,Jaunā Vienotība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=ECBB16485DD655ADC22583320029E4C7&url=./0/ECBB16485DD655ADC22583320029E4C7?OpenDocument&lang=LV,Ojars.Kalnins@saeima.lv
"Kazinovskis, Andris",Pie frakcijām nepiederošie deputāti,V,1959,"Viļakas novads, Peisi, Susāju pagasts","Inženieris - mehāniķis (Latvijas Lauksaimniecības akadēmija, 1982)",,Jaunā konservatīva partija,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no Jaunās konservatīvās partijas Latgales vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/2F6931257524A790C22583320029E3FB?OpenDocument&lang=LV,Andris.Kazinovskis@saeima.lv
"Kiršteins, Aleksandrs",Nacionāla Apvienība VL-TB/LNNK,V,1948,Rīga,"Arhitektūra (Rīgas Politehniskais Institūts, 1972)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=781C010D8AE2F232C22583320029E4E8&url=./0/781C010D8AE2F232C22583320029E4E8?OpenDocument&lang=LV,Aleksandrs.Kirsteins@saeima.lv
"Klementjevs, Andrejs",Saskaņa,V,1973,Rīga,"Sociālo zinātņu maģistra grāds sabiedrības vadībā (Latvijas Universitāte, 2011); Ekonomikas zinātņu bakalaura grāds (Rīgas Aviācijas universitāte, 1998)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=C4BA4374C797ABEAC22583320029E45D&url=./0/C4BA4374C797ABEAC22583320029E45D?OpenDocument&lang=LV,Andrejs.Klementjevs@saeima.lv
"Klementjevs, Ivans",Saskaņa,V,1960,Rīga,"Pedagoģijas doktora zinātniskais grāds (Latvijas Sporta Pedagoģijas akadēmija, 1993); Fiziskās audzināšanas pasniedzējs (Latvijas Valsts Fiziskās kultūras institūts, 1985)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=846198AFA25CA915C22583320029E455&url=./0/846198AFA25CA915C22583320029E455?OpenDocument&lang=LV,Ivans.Klementjevs@saeima.lv
"Kols, Rihards",Nacionāla Apvienība VL-TB/LNNK,V,1984,"Carnikavas novads, Carnikava","Starptautiskā diplomātija (Vestminsteres Universitāte, 2010); Juriskonsults (Biznesa augstskola ""Turība"", 2008); Vispārējā vidējā (Rīgas Komercģimnāzija, 2003); Pamata (Rīgas Valsts 2. ģimnāzija, 2000)",Nacionāla Apvienība VL-TB/LNNK,Nacionālā apvienība VL-TB/LNNK,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=04507B29A37E77E9C22583320029E4D9&url=./0/04507B29A37E77E9C22583320029E4D9?OpenDocument&lang=LV,Rihards.Kols@saeima.lv
"Kozlovskis, Rihards",Jaunā Vienotība,V,1969,Jūrmala,"Jurists (Latvijas Universitāte, 2004); Sporta pedagogs (Latvijas Sporta pedagoģijas akadēmija, 1993)",Vienotība,Jaunā Vienotība,"Apstiprināts uz laiku, kamēr ministra pienākumus pilda deputāti, kuri ievēlēti no partijas Jaunā Vienotība Rīgas vēlēšanu apgabala kandidātu saraksta",https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=AB22DC16A65B017BC22583320029E4B3&url=./0/AB22DC16A65B017BC22583320029E4B3?OpenDocument&lang=LV,Rihards.Kozlovskis@saeima.lv
"Krapāne, Ieva",KPV LV,S,1981,Ogre,"Pirmsskolas izgītības skolotājs (Rīgas pedagoģijas un izglītības vadības augstskola, 2008); Sākumskolas skolotājs ar tiesībām mācīt sociālās zinības (Rīgas pedagoģijas un izglītības vadības augstskola, 2005); Vidējā izglītība (Smiltenes ģimnāzija, 2000)",Par cilvēcīgu Latviju,KPV LV,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/B48D838E757C9447C22583320029E5E4?OpenDocument&lang=LV,Ieva.Krapane@saeima.lv
"Krauze, Armands",Zaļo un Zemnieku Savienība,V,1970,"Krimuldas novads, Krimuldas pagasts","Agronoms (Latvijas Lauksaimniecības universitāte, 1996); Biškopis (Vecbebru tehnikums, 1988)",Latvijas Zemnieku savienība,Zaļo un Zemnieku Savienība,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/depArchive.html?ReadForm&unid=1615235FD59207F3C22583320029E5FD&url=./0/1615235FD59207F3C22583320029E5FD?OpenDocument&lang=LV,Armands.Krauze@saeima.lv
"Krišāns, Jānis",Saskaņa,V,1960,Rēzekne,"Sociālo zinātņu maģistra vadības zinātnē akadēmiskais grāds (Rēzeknes Augstskola, 2003); Ekonomista kvalifikācija komercpakalpojumu vadībā (Rēzeknes Augstskola, 2001)",Saskaņa,Saskaņa,Pilntiesīgs mandāts,https://titania.saeima.lv/personal/deputati/saeima13_depweb_public.nsf/0/13AE9BD5C9F87294C22583320029E3D6?OpenDocument&lang=LV,Janis.Krisans@saeima.lv
